M,Structure,Adsorption species,orientation,DFT,LGBM,Type of data,NM,fB,NC,X,Z,R,Eligible
V,@B4,*N2,(end-on),-1.000218,-1.0159378,Training,1,1.0,4,1.63,23.0,252.0,1.0
V,@B4,*N2,(side-on),-0.821077,-0.8555085,Training,2,1.0,4,1.63,23.0,252.0,1.0
Cu,@B4,*N2,(end-on),-0.497864,-0.4659206,Training,1,1.0,4,1.9,29.0,217.0,0.0
Cu,@B4,*N2,(side-on),-0.198403,-0.2730153,Training,2,1.0,4,1.9,29.0,217.0,0.0
Tc,@B4,*N2,(end-on),-1.341411,-1.2383999,Training,1,1.0,4,2.1,43.0,252.0,1.0
Tc,@B4,*N2,(side-on),-1.337701,-1.1268206,Training,2,1.0,4,2.1,43.0,252.0,1.0
Ru,@B4,*N2,(end-on),-1.235572,-1.1128087,Training,1,1.0,4,2.2,44.0,237.0,1.0
Ru,@B4,*N2,(side-on),-0.670788,-0.8909382,Training,2,1.0,4,2.2,44.0,237.0,1.0
Rh,@B4,*N2,(end-on),-0.479402,-0.6203168,Test,1,1.0,4,2.28,45.0,233.0,0.0
Rh,@B4,*N2,(side-on),-0.478874,-0.4058364,Test,2,1.0,4,2.28,45.0,233.0,0.0
Mo,@B4,*N2,(end-on),-1.226218,-1.2262215,Training,1,1.0,4,2.16,42.0,244.0,1.0
Mo,@B4,*N2,(side-on),-1.25054,-1.146023,Training,2,1.0,4,2.16,42.0,244.0,1.0
Au,@B4,*N2,(end-on),-0.108358,-0.1283405,Test,1,1.0,4,2.4,79.0,225.99999999999997,0.0
Au,@B4,*N2,(side-on),-0.111285,0.03220641,Test,2,1.0,4,2.4,79.0,225.99999999999997,0.0
Ag,@B4,*N2,(end-on),-0.116215,-0.1705582,Training,1,1.0,4,1.93,47.0,225.0,0.0
Ag,@B4,*N2,(side-on),-0.119417,-0.1539989,Training,2,1.0,4,1.93,47.0,225.0,0.0
Ir,@B4,*N2,(end-on),-0.605715,-0.4735573,Test,1,1.0,4,2.2,77.0,240.0,1.0
Ir,@B4,*N2,(side-on),-0.256806,-0.2912756,Training,2,1.0,4,2.2,77.0,240.0,0.0
Pt,@B4,*N2,(end-on),-0.104224,-0.1067798,Training,1,1.0,4,2.2,78.0,229.99999999999997,0.0
