#Sno.,PCE,polarizability,delLA,delLD,N_atom,Eg,lamda_h,DIP,AL-DH,delHD,E_bind,DL-AL,delGE,E_T1
1,9.84,2609.936,0.033470005,0.009251871,130,530.36,0.344485262,6.210168907,3.40686553,0.218779544,1.727248407,0.149118395,1.635171153,1.6513
2,9.54,1272.633,0.033470005,0.063130416,68,457,0.357499652,6.512217741,3.667822722,0.327897202,2.06897251,0.484362671,1.055898826,1.8847
3,9.45,2583.469667,0.033470005,0.012245124,130,527.22,0.34670299,6.276385094,3.483601638,0.174152871,1.775410098,0.140410752,1.877727376,1.6548
5,9.01,1348.671333,0.033470005,0.06694001,68,452.77,0.36677683,6.529201455,3.695578335,0.344496147,2.041072734,0.467219498,1.18416243,1.9175
6,9,1548.767667,0.077824564,0.5025943,86,613.14,0.197043088,6.097001923,3.23842705,0.330890454,1.911889803,0.155377014,0.0002,1.1221
7,8.95,2042.786333,0.033470005,0.055239114,99,522.83,0.234268264,6.097448462,3.2982921,0.133880019,1.886983266,0.428851444,1.420276836,1.6998
8,8.91,2008.500333,0.033470005,0.066123668,99,520.42,0.242888831,6.104950641,3.302645921,0.139050183,1.89989119,0.437831201,1.959911452,1.7066
9,8.9,1350.655,0.033470005,0.054422772,68,459.31,0.357077603,6.398346798,3.563058885,0.369530622,2.001557001,0.521098042,1.590221557,1.885
10,8.85,2062.969,0.033470005,0.005714391,99,507.21,0.297586438,6.039254192,3.235161684,0.165445227,1.81728741,0.489260721,2.20108267,1.7187
11,8.54,1219.206333,0.033470005,0.054694886,64,503.34,0.342527947,6.182630985,3.354347555,0.397830464,1.967524674,0.465314701,1.081186094,1.709
12,8.5,1370.196333,0.033470005,0.057143911,74,459.7,0.345840661,6.410014768,3.583195311,0.369802736,2.007289311,0.51102983,0.508959016,1.8738
14,8.27,1219.206333,0.033470005,0.054694886,64,503.34,0.342527947,6.182630985,3.354347555,0.397830464,1.967524674,0.465314701,1.081186094,1.709
15,8.24,1237.82,0.033470005,0.056871797,64,511.6,0.369751034,6.158918983,3.330945763,0.39755835,1.958814802,0.43701486,0.494094465,1.6697
17,8.13,1753.540667,0.033470005,0.214153608,82,454.94,0.190216568,6.155953758,3.353803327,0.536880646,1.959452233,0.07755245,0.112600711,1.2851
18,8.04,1438.792,0.033470005,0.512118285,78,617.16,0.202893264,6.055816946,3.246590466,0.369258508,1.934009151,0.132791564,0,1.1207
19,8.02,1267.351,0.033470005,0.046259356,68,454.6,0.367622832,6.428867361,3.58455588,0.38558534,2.018271839,0.528989344,1.334010409,1.8951
20,8.02,1702.321333,0.033470005,0.026939272,90,461.73,0.269452586,6.295822187,3.484145866,0.240548652,1.931837497,0.570894879,0.001019804,1.847
21,8.02,1093.602333,0.033470005,0.165445227,60,510.41,0.30025125,6.490832585,3.632992148,0.376061355,2.057093996,0.184221083,0.002271563,1.4466
22,7.95,1895.354,0.033470005,0.271841746,102,601.72,0.419700254,5.996121424,3.199242654,0.266127355,1.942713936,0.267487925,0.071062648,1.0859
23,7.91,1156.025667,0.033470005,0.032381549,62,457.98,0.601617894,6.602042254,3.758980865,0.451709008,1.922064117,0.274290771,2.857202398,1.9151
24,7.85,1417.189667,0.033470005,0.069389034,74,457.58,0.354537965,6.492803233,3.668911177,0.324359721,2.049347596,0.48708381,0.000707107,1.8863
25,7.83,966.619,0.033470005,0.250344751,52,511.4,0.330412894,6.288385859,3.401423253,0.250616865,2.14882907,0.436470632,0.1414,1.6734
26,7.83,1142.542,0.033470005,0.047619926,58,453.52,0.392400431,6.507800789,3.635169058,0.354292246,2.076666913,0.51102983,0.127617906,1.8956
