target_cct,differences,eqe(%),cct_light,p1,p1i,p2,p2i,p3,p3i,p4,p4i,G,O
4071,2,1.23,4064,449,0.00056886,460,0.00039856,495,0.00016234,557,0.00074366,10,70
4396,6,1.69,4432,453,0.00055554,464,0.00038655,499,0.00015533,561,0.00073268,10,80
4479,4,1.74,4503,451,0.00056886,462,0.00039856,497,0.00016234,559,0.00074366,10,70
4548,2,1.25,4510,449,0.000623,459,0.000369,,0,557,0.00768,,
4631,8,1.72,4682,455,0.00057986,466,0.00040368,501,0.00017932,563,0.00075698,10,60
4932,6,1.73,4900,453,0.00058175,464,0.00041305,499,0.0001856,561,0.00076435,10,50
5006,2,1.73,5032,449,0.0006008,460,0.00043091,495,0.00020026,557,0.000775,10,47
5036,2,1.75,5082,449,0.00067379,460,0.00046711,495,0.00021997,557,0.00082475,10,46
5083,6,1.77,5170,453,0.000699,464,0.00049731,499,0.00022495,561,0.00084997,10,43
5099,3,1.75,5098,450,0.00067877,461,0.00047707,496,0.00021997,558,0.00083503,10,44
5106,3,1.22,5170,450,0.000699,461,0.00049731,496,0.00022495,558,0.00084997,10,43
5109,4,1.74,5133,451,0.00064906,464,0.00044685,497,0.00021179,559,0.00078098,10,45
5231,3,1.76,5287,450,0.00073616,461,0.00050724,496,0.0002322,558,0.00081878,10,42
5323,7,1.72,5361,454,0.00075455,465,0.00052988,500,0.00022767,562,0.00081878,10,36
5326,5,1.4,5386,452,0.00077433,463,0.00054773,498,0.0002402,560,0.00083005,10,39
5347,8,1.76,5396,455,0.00079456,468,0.00054275,501,0.00024518,563,0.00082475,10,38
5361,5,1.7,5397,452,0.0007846,463,0.0005275,498,0.00023522,560,0.00083005,10,35
5400,3,1.73,5400,450,0.00076935,461,0.00054275,496,0.00023024,558,0.00083503,10,37
5531,12,1.59,5613,459,0.00089789,471,0.00050708,505,0.00025514,567,0.00084816,11,30
5560,4,1.75,5581,451,0.00084997,462,0.00057792,497,0.00025016,559,0.00084001,10,33
5599,3,1.76,5621,450,0.00085526,461,0.00059286,496,0.00025514,558,0.00084499,10,32
5603,2,1.58,5663,449,0.00087518,462,0.0005955,495,0.00025514,557,0.00084499,10,31
5606,6,1.09,5621,453,0.00085526,464,0.00059286,499,0.00025514,561,0.00084499,10,32
5806,4,0.98,5857,451,0.001223,462,0.00083123,497,0.00035033,559,0.00111986,10,1
5809,6,1.78,5810,453,0.00096417,464,0.00064634,499,0.0002786,561,0.00086808,10,29
5821,3,1.54,5829,450,0.00097877,461,0.00065483,496,0.00027283,558,0.00089422,10,28
5832,5,1.66,5842,452,0.00106242,463,0.00071148,498,0.00029434,560,0.00093919,10,27
5873,3,1.68,5907,450,0.00114153,462,0.00077074,496,0.0003215,558,0.00098149,10,26
5953,7,1.78,5705,454,0.00091564,466,0.0006187,500,0.00025514,562,0.00085681,10,30
5967,3,1.63,6006,450,0.0012595,463,0.00083633,496,0.00034779,558,0.00104049,10,25
