DMSC,ΔGOOH,ΔGOH,ΔGO,ΔG1,ΔG2,ΔG3,ΔG4,UL,L,EA1,EA2,R1,R2,P1,P2,Z1,Z2,N1,N2,Nd1,Nd2,IE1,IE2,IE1/Nd1,IE1*L,P1/Nd1,P1*Nd1,IE2/Nd2,IE2*L,P2/Nd2,P2*Nd2,P1+P2,|P1-P2|,R1+R2
Fe/Cr,2.88,-0.21,1.37,-2.04,-1.51,-1.58,0.21,-0.21,2.74,0.15323634,0.6758412,2.44,2.45,1.83,1.66,26.0,24.0,8.0,6.0,6.0,5.0,7.9024678,6.76651,1.3170779666666668,21.652761772,0.305,10.98,1.353302,18.540237400000002,0.33199999999999996,8.299999999999999,3.49,0.17000000000000015,4.890000000000001
Fe/Cu,3.98,0.71,1.64,-0.94,-2.34,-0.93,-0.71,0.71,2.62,0.15323634,1.235784,2.44,2.38,1.83,1.9,26.0,29.0,8.0,11.0,6.0,10.0,7.9024678,7.72638,1.3170779666666668,20.704465636000002,0.305,10.98,0.7726379999999999,20.2431156,0.19,19.0,3.73,0.06999999999999984,4.82
Fe/Fe,3.44,0.39,1.61,-1.48,-1.83,-1.22,-0.39,0.39,2.63,0.15323634,0.15323634,2.44,2.44,1.83,1.83,26.0,26.0,8.0,8.0,6.0,6.0,7.9024678,7.9024678,1.3170779666666668,20.783490313999998,0.305,10.98,1.3170779666666668,20.783490313999998,0.305,10.98,3.66,0.0,4.88
Fe/Mn,2.86,-0.22,1.3,-2.06,-1.56,-1.52,0.22,-0.22,2.78,0.15323634,-0.52,2.44,2.45,1.83,1.55,26.0,25.0,8.0,7.0,6.0,5.0,7.9024678,7.434018,1.3170779666666668,21.968860484,0.305,10.98,1.4868036,20.66657004,0.31,7.75,3.38,0.28,4.890000000000001
Fe/Zn,3.9,0.5,1.37,-1.02,-2.53,-0.87,-0.5,0.5,2.66,0.15323634,-0.62,2.44,2.39,1.83,1.65,26.0,30.0,8.0,12.0,6.0,10.0,7.9024678,9.394199,1.3170779666666668,21.020564348,0.305,10.98,0.9394199000000001,24.98856934,0.16499999999999998,16.5,3.48,0.18000000000000016,4.83
Fe/Ni,3.43,0.58,1.85,-1.49,-1.58,-1.27,-0.58,0.58,2.58,0.15323634,1.1571612,2.44,2.4,1.83,1.91,26.0,28.0,8.0,10.0,6.0,8.0,7.9024678,7.639877,1.3170779666666668,20.388366924,0.305,10.98,0.954984625,19.710882660000003,0.23875,15.28,3.74,0.07999999999999985,4.84
Co/Co,3.49,0.35,2.16,-1.43,-1.33,-1.81,-0.35,0.35,2.61,0.662265,0.662265,2.4,2.4,1.88,1.88,27.0,27.0,9.0,9.0,7.0,7.0,7.88101,7.88101,1.1258585714285714,20.569436099999997,0.26857142857142857,13.16,1.1258585714285714,20.569436099999997,0.26857142857142857,13.16,3.76,0.0,4.8
Co/Cr,3.27,0.31,2.02,-1.65,-1.24,-1.72,-0.31,0.31,2.64,0.662265,0.6758412,2.4,2.45,1.88,1.66,27.0,24.0,9.0,6.0,7.0,5.0,7.88101,6.76651,1.1258585714285714,20.8058664,0.26857142857142857,13.16,1.353302,17.863586400000003,0.33199999999999996,8.299999999999999,3.54,0.21999999999999997,4.85
Co/Cu,3.69,0.48,2.84,-1.23,-0.85,-2.36,-0.48,0.48,2.58,0.662265,1.235784,2.4,2.38,1.88,1.9,27.0,29.0,9.0,11.0,7.0,10.0,7.88101,7.72638,1.1258585714285714,20.3330058,0.26857142857142857,13.16,0.7726379999999999,19.9340604,0.19,19.0,3.78,0.020000000000000018,4.779999999999999
Co/Mn,3.26,0.1,2.13,-1.66,-1.12,-2.04,-0.1,0.1,2.75,0.662265,-0.52,2.4,2.45,1.88,1.55,27.0,25.0,9.0,7.0,7.0,5.0,7.88101,7.434018,1.1258585714285714,21.6727775,0.26857142857142857,13.16,1.4868036,20.4435495,0.31,7.75,3.4299999999999997,0.32999999999999985,4.85
